id,usuario_nombre,partidos_marcadores,fecha_creacion
183,Cabeza,"{""1"":{""local"":""2"",""visita"":""0""},""2"":{""local"":""0"",""visita"":""1""},""3"":{""local"":""1"",""visita"":""1""},""4"":{""local"":""2"",""visita"":""2""},""5"":{""local"":""0"",""visita"":""2""},""6"":{""local"":""2"",""visita"":""1""},""7"":{""local"":""0"",""visita"":""2""},""8"":{""local"":""0"",""visita"":""1""},""9"":{""local"":""3"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""0""},""11"":{""local"":""0"",""visita"":""2""},""12"":{""local"":""2"",""visita"":""1""},""13"":{""local"":""3"",""visita"":""0""},""14"":{""local"":""2"",""visita"":""0""},""15"":{""local"":""0"",""visita"":""3""},""16"":{""local"":""1"",""visita"":""0""},""17"":{""local"":""2"",""visita"":""0""},""18"":{""local"":""0"",""visita"":""2""},""19"":{""local"":""3"",""visita"":""0""},""20"":{""local"":""2"",""visita"":""0""},""21"":{""local"":""2"",""visita"":""0""},""22"":{""local"":""1"",""visita"":""1""},""23"":{""local"":""0"",""visita"":""0""},""24"":{""local"":""0"",""visita"":""2""},""25"":{""local"":""2"",""visita"":""0""},""26"":{""local"":""1"",""visita"":""0""},""27"":{""local"":""2"",""visita"":""1""},""28"":{""local"":""2"",""visita"":""1""},""29"":{""local"":""1"",""visita"":""0""},""30"":{""local"":""1"",""visita"":""2""},""31"":{""local"":""4"",""visita"":""0""},""32"":{""local"":""3"",""visita"":""1""},""33"":{""local"":""2"",""visita"":""0""},""34"":{""local"":""5"",""visita"":""0""},""35"":{""local"":""2"",""visita"":""1""},""36"":{""local"":""1"",""visita"":""2""},""37"":{""local"":""3"",""visita"":""0""},""38"":{""local"":""2"",""visita"":""0""},""39"":{""local"":""3"",""visita"":""0""},""40"":{""local"":""1"",""visita"":""2""},""41"":{""local"":""3"",""visita"":""0""},""42"":{""local"":""4"",""visita"":""0""},""43"":{""local"":""2"",""visita"":""1""},""44"":{""local"":""1"",""visita"":""2""},""45"":{""local"":""3"",""visita"":""1""},""46"":{""local"":""3"",""visita"":""0""},""47"":{""local"":""0"",""visita"":""3""},""48"":{""local"":""2"",""visita"":""0""}}",2026-06-11 14:28:26.830723+00
192,CAMILO,"{""1"":{""local"":""2"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""1""},""3"":{""local"":""2"",""visita"":""1""},""4"":{""local"":""2"",""visita"":""0""},""5"":{""local"":""0"",""visita"":""2""},""6"":{""local"":""2"",""visita"":""1""},""7"":{""local"":""0"",""visita"":""2""},""8"":{""local"":""1"",""visita"":""2""},""9"":{""local"":""4"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""1""},""11"":{""local"":""1"",""visita"":""1""},""12"":{""local"":""2"",""visita"":""0""},""13"":{""local"":""3"",""visita"":""0""},""14"":{""local"":""2"",""visita"":""0""},""15"":{""local"":""0"",""visita"":""2""},""16"":{""local"":""1"",""visita"":""0""},""17"":{""local"":""3"",""visita"":""1""},""18"":{""local"":""0"",""visita"":""2""},""19"":{""local"":""3"",""visita"":""0""},""20"":{""local"":""2"",""visita"":""0""},""21"":{""local"":""3"",""visita"":""0""},""22"":{""local"":""2"",""visita"":""1""},""23"":{""local"":""2"",""visita"":""1""},""24"":{""local"":""0"",""visita"":""2""},""25"":{""local"":""1"",""visita"":""0""},""26"":{""local"":""1"",""visita"":""1""},""27"":{""local"":""2"",""visita"":""0""},""28"":{""local"":""2"",""visita"":""1""},""29"":{""local"":""2"",""visita"":""1""},""30"":{""local"":""1"",""visita"":""1""},""31"":{""local"":""4"",""visita"":""0""},""32"":{""local"":""1"",""visita"":""0""},""33"":{""local"":""2"",""visita"":""1""},""34"":{""local"":""3"",""visita"":""1""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""0"",""visita"":""2""},""37"":{""local"":""2"",""visita"":""0""},""38"":{""local"":""2"",""visita"":""1""},""39"":{""local"":""2"",""visita"":""1""},""40"":{""local"":""0"",""visita"":""1""},""41"":{""local"":""2"",""visita"":""1""},""42"":{""local"":""3"",""visita"":""0""},""43"":{""local"":""2"",""visita"":""1""},""44"":{""local"":""0"",""visita"":""2""}}",2026-06-11 18:00:28.586293+00
143,Edgar Blanco,"{""1"":{""local"":""2"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""1""},""3"":{""local"":""2"",""visita"":""0""},""4"":{""local"":""2"",""visita"":""1""},""5"":{""local"":""1"",""visita"":""2""},""6"":{""local"":""2"",""visita"":""0""},""7"":{""local"":""0"",""visita"":""2""},""8"":{""local"":""0"",""visita"":""2""},""9"":{""local"":""4"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""2""},""11"":{""local"":""1"",""visita"":""3""},""12"":{""local"":""2"",""visita"":""0""},""13"":{""local"":""3"",""visita"":""0""},""14"":{""local"":""2"",""visita"":""0""},""15"":{""local"":""1"",""visita"":""1""},""16"":{""local"":""2"",""visita"":""0""},""17"":{""local"":""2"",""visita"":""0""},""18"":{""local"":""1"",""visita"":""2""},""19"":{""local"":""3"",""visita"":""0""},""20"":{""local"":""1"",""visita"":""1""},""21"":{""local"":""3"",""visita"":""0""},""22"":{""local"":""2"",""visita"":""2""},""23"":{""local"":""2"",""visita"":""0""},""24"":{""local"":""0"",""visita"":""2""},""25"":{""local"":""2"",""visita"":""0""},""26"":{""local"":""2"",""visita"":""1""},""27"":{""local"":""1"",""visita"":""1""},""28"":{""local"":""2"",""visita"":""1""},""29"":{""local"":""3"",""visita"":""0""},""30"":{""local"":""1"",""visita"":""2""},""31"":{""local"":""3"",""visita"":""0""},""32"":{""local"":""1"",""visita"":""1""},""33"":{""local"":""1"",""visita"":""0""},""34"":{""local"":""3"",""visita"":""1""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""1"",""visita"":""2""},""37"":{""local"":""2"",""visita"":""0""},""38"":{""local"":""2"",""visita"":""0""},""39"":{""local"":""2"",""visita"":""0""},""40"":{""local"":""0"",""visita"":""1""},""41"":{""local"":""2"",""visita"":""0""},""42"":{""local"":""3"",""visita"":""0""},""43"":{""local"":""2"",""visita"":""2""},""44"":{""local"":""0"",""visita"":""1""}}",2026-06-10 15:13:05.960341+00
170,Francisco Israel,"{""1"":{""local"":""1"",""visita"":""2""},""2"":{""local"":""2"",""visita"":""1""},""3"":{""local"":""1"",""visita"":""0""},""4"":{""local"":""1"",""visita"":""0""},""5"":{""local"":""0"",""visita"":""1""},""6"":{""local"":""2"",""visita"":""2""},""7"":{""local"":""0"",""visita"":""2""},""8"":{""local"":""1"",""visita"":""2""},""9"":{""local"":""3"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""1""},""11"":{""local"":""1"",""visita"":""1""},""12"":{""local"":""1"",""visita"":""2""},""13"":{""local"":""2"",""visita"":""0""},""14"":{""local"":""3"",""visita"":""1""},""15"":{""local"":""0"",""visita"":""2""},""16"":{""local"":""1"",""visita"":""2""},""17"":{""local"":""2"",""visita"":""1""},""18"":{""local"":""0"",""visita"":""3""},""19"":{""local"":""2"",""visita"":""0""},""20"":{""local"":""2"",""visita"":""0""},""21"":{""local"":""2"",""visita"":""0""},""22"":{""local"":""0"",""visita"":""2""},""23"":{""local"":""3"",""visita"":""0""},""24"":{""local"":""0"",""visita"":""3""},""25"":{""local"":""2"",""visita"":""1""},""26"":{""local"":""1"",""visita"":""1""},""27"":{""local"":""2"",""visita"":""0""},""28"":{""local"":""2"",""visita"":""1""},""29"":{""local"":""2"",""visita"":""1""},""30"":{""local"":""1"",""visita"":""2""},""31"":{""local"":""3"",""visita"":""0""},""32"":{""local"":""1"",""visita"":""1""},""33"":{""local"":""1"",""visita"":""2""},""34"":{""local"":""3"",""visita"":""0""},""35"":{""local"":""3"",""visita"":""1""},""36"":{""local"":""1"",""visita"":""3""},""37"":{""local"":""2"",""visita"":""0""},""38"":{""local"":""1"",""visita"":""1""},""39"":{""local"":""2"",""visita"":""1""},""40"":{""local"":""1"",""visita"":""2""},""41"":{""local"":""3"",""visita"":""1""},""42"":{""local"":""3"",""visita"":""0""},""43"":{""local"":""2"",""visita"":""1""},""44"":{""local"":""0"",""visita"":""2""}}",2026-06-10 22:10:16.08562+00
181,Guidas,"{""1"":{""local"":""1"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""1""},""3"":{""local"":""2"",""visita"":""0""},""4"":{""local"":""2"",""visita"":""2""},""5"":{""local"":""0"",""visita"":""3""},""6"":{""local"":""3"",""visita"":""1""},""7"":{""local"":""0"",""visita"":""3""},""8"":{""local"":""0"",""visita"":""2""},""9"":{""local"":""5"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""1""},""11"":{""local"":""0"",""visita"":""1""},""12"":{""local"":""2"",""visita"":""0""},""13"":{""local"":""5"",""visita"":""0""},""14"":{""local"":""3"",""visita"":""1""},""15"":{""local"":""1"",""visita"":""2""},""16"":{""local"":""2"",""visita"":""1""},""17"":{""local"":""2"",""visita"":""0""},""18"":{""local"":""0"",""visita"":""2""},""19"":{""local"":""2"",""visita"":""0""},""20"":{""local"":""3"",""visita"":""0""},""21"":{""local"":""4"",""visita"":""0""},""22"":{""local"":""1"",""visita"":""1""},""23"":{""local"":""2"",""visita"":""0""},""24"":{""local"":""0"",""visita"":""3""},""25"":{""local"":""1"",""visita"":""0""},""26"":{""local"":""1"",""visita"":""0""},""27"":{""local"":""1"",""visita"":""0""},""28"":{""local"":""1"",""visita"":""1""},""29"":{""local"":""2"",""visita"":""0""},""30"":{""local"":""0"",""visita"":""2""},""31"":{""local"":""3"",""visita"":""0""},""32"":{""local"":""1"",""visita"":""0""},""33"":{""local"":""2"",""visita"":""1""},""34"":{""local"":""3"",""visita"":""1""},""35"":{""local"":""2"",""visita"":""0""},""36"":{""local"":""0"",""visita"":""2""},""37"":{""local"":""2"",""visita"":""1""},""38"":{""local"":""1"",""visita"":""1""},""39"":{""local"":""2"",""visita"":""0""},""40"":{""local"":""1"",""visita"":""1""},""41"":{""local"":""2"",""visita"":""0""},""42"":{""local"":""3"",""visita"":""0""},""43"":{""local"":""1"",""visita"":""1""},""44"":{""local"":""0"",""visita"":""1""}}",2026-06-11 12:55:34.213536+00
63,Pablo Martin,"{""1"":{""local"":""1"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""1""},""3"":{""local"":""0"",""visita"":""1""},""4"":{""local"":""1"",""visita"":""0""},""5"":{""local"":""0"",""visita"":""2""},""6"":{""local"":""2"",""visita"":""0""},""7"":{""local"":""0"",""visita"":""1""},""8"":{""local"":""0"",""visita"":""0""},""9"":{""local"":""3"",""visita"":""0""},""10"":{""local"":""1"",""visita"":""1""},""11"":{""local"":""0"",""visita"":""2""},""12"":{""local"":""1"",""visita"":""0""},""13"":{""local"":""2"",""visita"":""0""},""14"":{""local"":""1"",""visita"":""0""},""15"":{""local"":""0"",""visita"":""1""},""16"":{""local"":""2"",""visita"":""1""},""17"":{""local"":""2"",""visita"":""0""},""18"":{""local"":""0"",""visita"":""1""},""19"":{""local"":""2"",""visita"":""0""},""20"":{""local"":""0"",""visita"":""0""},""21"":{""local"":""2"",""visita"":""0""},""22"":{""local"":""2"",""visita"":""1""},""23"":{""local"":""2"",""visita"":""1""},""24"":{""local"":""0"",""visita"":""1""},""25"":{""local"":""2"",""visita"":""0""},""26"":{""local"":""3"",""visita"":""1""},""27"":{""local"":""3"",""visita"":""0""},""28"":{""local"":""2"",""visita"":""1""},""29"":{""local"":""3"",""visita"":""1""},""30"":{""local"":""1"",""visita"":""3""},""31"":{""local"":""4"",""visita"":""0""},""32"":{""local"":""1"",""visita"":""1""},""33"":{""local"":""2"",""visita"":""1""},""34"":{""local"":""2"",""visita"":""0""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""0"",""visita"":""2""},""37"":{""local"":""3"",""visita"":""0""},""38"":{""local"":""2"",""visita"":""0""},""39"":{""local"":""1"",""visita"":""0""},""40"":{""local"":""1"",""visita"":""1""},""41"":{""local"":""1"",""visita"":""0""},""42"":{""local"":""4"",""visita"":""1""},""43"":{""local"":""1"",""visita"":""1""},""44"":{""local"":""1"",""visita"":""3""},""45"":{""local"":""3"",""visita"":""1""},""46"":{""local"":""3"",""visita"":""1""},""47"":{""local"":""1"",""visita"":""3""},""48"":{""local"":""2"",""visita"":""1""}}",2026-06-09 13:27:13.250177+00
150,Renato,"{""1"":{""local"":""1"",""visita"":""0""},""2"":{""local"":""2"",""visita"":""1""},""3"":{""local"":""1"",""visita"":""0""},""4"":{""local"":""2"",""visita"":""0""},""5"":{""local"":""0"",""visita"":""2""},""6"":{""local"":""1"",""visita"":""1""},""7"":{""local"":""0"",""visita"":""2""},""8"":{""local"":""1"",""visita"":""0""},""9"":{""local"":""3"",""visita"":""0""},""10"":{""local"":""1"",""visita"":""1""},""11"":{""local"":""0"",""visita"":""1""},""12"":{""local"":""2"",""visita"":""0""},""13"":{""local"":""3"",""visita"":""0""},""14"":{""local"":""1"",""visita"":""0""},""15"":{""local"":""0"",""visita"":""2""},""16"":{""local"":""0"",""visita"":""2""},""17"":{""local"":""2"",""visita"":""0""},""18"":{""local"":""0"",""visita"":""2""},""19"":{""local"":""1"",""visita"":""0""},""20"":{""local"":""2"",""visita"":""0""},""21"":{""local"":""3"",""visita"":""0""},""22"":{""local"":""1"",""visita"":""1""},""23"":{""local"":""2"",""visita"":""0""},""24"":{""local"":""0"",""visita"":""2""},""25"":{""local"":""1"",""visita"":""0""},""26"":{""local"":""2"",""visita"":""1""},""27"":{""local"":""1"",""visita"":""0""},""28"":{""local"":""1"",""visita"":""0""},""29"":{""local"":""1"",""visita"":""0""},""30"":{""local"":""0"",""visita"":""3""},""31"":{""local"":""4"",""visita"":""2""},""32"":{""local"":""1"",""visita"":""1""},""33"":{""local"":""0"",""visita"":""0""},""34"":{""local"":""1"",""visita"":""0""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""1"",""visita"":""2""},""37"":{""local"":""3"",""visita"":""0""},""38"":{""local"":""1"",""visita"":""0""},""39"":{""local"":""1"",""visita"":""0""},""40"":{""local"":""1"",""visita"":""2""},""41"":{""local"":""2"",""visita"":""1""},""42"":{""local"":""3"",""visita"":""1""},""43"":{""local"":""1"",""visita"":""1""},""44"":{""local"":""1"",""visita"":""2""},""45"":{""local"":""3"",""visita"":""0""},""46"":{""local"":""2"",""visita"":""1""},""47"":{""local"":""0"",""visita"":""2""},""48"":{""local"":""1"",""visita"":""0""}}",2026-06-10 15:15:46.134625+00
189,Sanjose,"{""1"":{""local"":""2"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""1""},""3"":{""local"":""2"",""visita"":""1""},""4"":{""local"":""1"",""visita"":""1""},""5"":{""local"":""0"",""visita"":""1""},""6"":{""local"":""1"",""visita"":""1""},""7"":{""local"":""1"",""visita"":""2""},""8"":{""local"":""0"",""visita"":""1""},""9"":{""local"":""3"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""1""},""11"":{""local"":""1"",""visita"":""1""},""12"":{""local"":""1"",""visita"":""0""},""13"":{""local"":""3"",""visita"":""0""},""14"":{""local"":""1"",""visita"":""0""},""15"":{""local"":""1"",""visita"":""2""},""16"":{""local"":""1"",""visita"":""0""},""17"":{""local"":""2"",""visita"":""1""},""18"":{""local"":""0"",""visita"":""1""},""19"":{""local"":""2"",""visita"":""0""},""20"":{""local"":""2"",""visita"":""0""},""21"":{""local"":""2"",""visita"":""0""},""22"":{""local"":""1"",""visita"":""0""},""23"":{""local"":""1"",""visita"":""0""},""24"":{""local"":""0"",""visita"":""2""},""25"":{""local"":""1"",""visita"":""0""},""26"":{""local"":""1"",""visita"":""0""},""27"":{""local"":""2"",""visita"":""0""},""28"":{""local"":""1"",""visita"":""0""},""29"":{""local"":""2"",""visita"":""0""},""30"":{""local"":""0"",""visita"":""1""},""31"":{""local"":""3"",""visita"":""0""},""32"":{""local"":""1"",""visita"":""1""},""33"":{""local"":""1"",""visita"":""0""},""34"":{""local"":""2"",""visita"":""0""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""1"",""visita"":""2""},""37"":{""local"":""2"",""visita"":""0""},""38"":{""local"":""1"",""visita"":""0""},""39"":{""local"":""1"",""visita"":""0""},""40"":{""local"":""1"",""visita"":""1""},""41"":{""local"":""2"",""visita"":""0""},""42"":{""local"":""3"",""visita"":""0""},""43"":{""local"":""2"",""visita"":""0""},""44"":{""local"":""0"",""visita"":""1""},""45"":{""local"":""2"",""visita"":""0""},""46"":{""local"":""2"",""visita"":""0""},""47"":{""local"":""1"",""visita"":""2""},""48"":{""local"":""1"",""visita"":""0""}}",2026-06-11 16:36:36.687121+00
180,Trauco,"{""1"":{""local"":""2"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""2""},""3"":{""local"":""1"",""visita"":""0""},""4"":{""local"":""1"",""visita"":""1""},""5"":{""local"":""0"",""visita"":""2""},""6"":{""local"":""2"",""visita"":""0""},""7"":{""local"":""1"",""visita"":""1""},""8"":{""local"":""0"",""visita"":""2""},""9"":{""local"":""6"",""visita"":""0""},""10"":{""local"":""1"",""visita"":""1""},""11"":{""local"":""1"",""visita"":""1""},""12"":{""local"":""2"",""visita"":""0""},""13"":{""local"":""6"",""visita"":""0""},""14"":{""local"":""1"",""visita"":""1""},""15"":{""local"":""0"",""visita"":""2""},""16"":{""local"":""2"",""visita"":""0""},""17"":{""local"":""3"",""visita"":""0""},""18"":{""local"":""1"",""visita"":""1""},""19"":{""local"":""4"",""visita"":""0""},""20"":{""local"":""2"",""visita"":""0""},""21"":{""local"":""3"",""visita"":""0""},""22"":{""local"":""1"",""visita"":""1""},""23"":{""local"":""2"",""visita"":""1""},""24"":{""local"":""0"",""visita"":""4""},""25"":{""local"":""0"",""visita"":""1""},""26"":{""local"":""2"",""visita"":""0""},""27"":{""local"":""2"",""visita"":""1""},""28"":{""local"":""1"",""visita"":""1""},""29"":{""local"":""2"",""visita"":""0""},""30"":{""local"":""0"",""visita"":""2""},""31"":{""local"":""3"",""visita"":""0""},""32"":{""local"":""2"",""visita"":""1""},""33"":{""local"":""1"",""visita"":""1""},""34"":{""local"":""2"",""visita"":""0""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""1"",""visita"":""2""},""37"":{""local"":""2"",""visita"":""0""},""38"":{""local"":""1"",""visita"":""0""},""39"":{""local"":""1"",""visita"":""0""},""40"":{""local"":""0"",""visita"":""2""},""41"":{""local"":""2"",""visita"":""1""},""42"":{""local"":""3"",""visita"":""0""},""43"":{""local"":""1"",""visita"":""0""},""44"":{""local"":""1"",""visita"":""0""}}",2026-06-11 00:19:14.04894+00
158,Vitomaster,"{""1"":{""local"":""1"",""visita"":""0""},""2"":{""local"":""1"",""visita"":""1""},""3"":{""local"":""1"",""visita"":""1""},""4"":{""local"":""1"",""visita"":""1""},""5"":{""local"":""0"",""visita"":""2""},""6"":{""local"":""2"",""visita"":""1""},""7"":{""local"":""0"",""visita"":""1""},""8"":{""local"":""1"",""visita"":""2""},""9"":{""local"":""3"",""visita"":""0""},""10"":{""local"":""2"",""visita"":""1""},""11"":{""local"":""3"",""visita"":""1""},""12"":{""local"":""2"",""visita"":""1""},""13"":{""local"":""3"",""visita"":""0""},""14"":{""local"":""2"",""visita"":""0""},""15"":{""local"":""0"",""visita"":""1""},""16"":{""local"":""0"",""visita"":""1""},""17"":{""local"":""3"",""visita"":""0""},""18"":{""local"":""0"",""visita"":""2""},""19"":{""local"":""2"",""visita"":""0""},""20"":{""local"":""1"",""visita"":""0""},""21"":{""local"":""3"",""visita"":""0""},""22"":{""local"":""2"",""visita"":""0""},""23"":{""local"":""1"",""visita"":""1""},""24"":{""local"":""0"",""visita"":""2""},""25"":{""local"":""2"",""visita"":""1""},""26"":{""local"":""3"",""visita"":""1""},""27"":{""local"":""2"",""visita"":""1""},""28"":{""local"":""2"",""visita"":""1""},""29"":{""local"":""2"",""visita"":""1""},""30"":{""local"":""0"",""visita"":""2""},""31"":{""local"":""3"",""visita"":""0""},""32"":{""local"":""2"",""visita"":""1""},""33"":{""local"":""2"",""visita"":""1""},""34"":{""local"":""3"",""visita"":""1""},""35"":{""local"":""3"",""visita"":""0""},""36"":{""local"":""0"",""visita"":""2""},""37"":{""local"":""3"",""visita"":""0""},""38"":{""local"":""2"",""visita"":""1""},""39"":{""local"":""2"",""visita"":""0""},""40"":{""local"":""2"",""visita"":""2""},""41"":{""local"":""3"",""visita"":""0""},""42"":{""local"":""4"",""visita"":""0""},""43"":{""local"":""3"",""visita"":""1""},""44"":{""local"":""1"",""visita"":""2""},""45"":{""local"":""4"",""visita"":""1""},""46"":{""local"":""2"",""visita"":""0""},""47"":{""local"":""0"",""visita"":""4""},""48"":{""local"":""3"",""visita"":""1""}}",2026-06-10 21:51:41.314432+00
